Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/auth/PublicCertificate,1,1,53.991741999197984,53.991741999197984,53.991741999197984,53.991741999197984,207.0,0.03691953379307467,0.03691953379307467,54,54,54,54,54,54,54,54,54,54,54
POST,/players/v1/accounts/,1,1,11.076946000684984,11.076946000684984,11.076946000684984,11.076946000684984,207.0,0.03691953379307467,0.03691953379307467,11,11,11,11,11,11,11,11,11,11,11
GET,/players/v1/accounts/dummy:dummy.AnonymousUser/location,4,4,3,3.835506499854091,2.880410000216216,5.604444000709918,207.0,0.1476781351722987,0.1476781351722987,4,4,6,6,6,6,6,6,6,6,6
GET,/players/v1/name/,1,1,84.31758699953207,84.31758699953207,84.31758699953207,84.31758699953207,207.0,0.03691953379307467,0.03691953379307467,84,84,84,84,84,84,84,84,84,84,84
websocket,ws_go_East,1,0,0,0.0,0,0,786.0,0.03691953379307467,0.0,0,0,0,0,0,0,0,0,0,0,0
websocket,ws_go_North,2,0,0,0.0,0,0,100.5,0.07383906758614935,0.0,0,0,0,0,0,0,0,0,0,0,0
websocket,ws_go_West,1,0,0,0.0,0,0,156.0,0.03691953379307467,0.0,0,0,0,0,0,0,0,0,0,0,0
websocket,ws_player_ready,1,0,327,327.0,327,327,92.0,0.03691953379307467,0.0,330,330,330,330,330,330,330,330,330,330,330
,Aggregated,12,7,3,40.97735841656928,0,327,223.66666666666666,0.4430344055168961,0.2584367365515227,4,6,54,54,84,330,330,330,330,330,330
